document_id,document_name,query_id,query,answers
2,Carbon footprint,11,What does carbon accounting measures?,"Carbon accounting (or greenhouse gas accounting) is a framework of methods to measure and track how much greenhouse gas (GHG) an organization emits.It can also be used to track projects or actions to reduce emissions in sectors such as forestry or renewable energy. Corporations, cities and other groups use these techniques to help limit climate change. Organizations will often set an emissions baseline, create targets for reducing emissions, and track progress towards them. The accounting methods enable them to do this in a more consistent and transparent manner."
2,Carbon footprint,12,What is the largest source of greenhouse gas emissions in the United States according to the Environmental Protection Agency?,"Electricity generation and transport are major emitters; the largest single source, according to the United States Environmental Protection Agency, is transportation, accounting for 27% of all USA greenhouse gas emissions"
2,Carbon footprint,13,Whats if carbon offsetting?,"Reforestation, the restocking of existing forests or woodlands that have previously been depleted, is an example of Carbon Offsetting, the counteracting of carbon dioxide emissions with an equivalent reduction of carbon dioxide in the atmosphere.Carbon offsetting can reduce a companies overall carbon footprint by offering a carbon credit."
2,Carbon footprint,14,"What is the IPCC Sixth Assessment Report, and what does it say about anthropogenic GHGs emissions?","The latest climate science is published in the IPCC Sixth Assessment Report. The report presents key scientific findings linking the increase in anthropogenic GHGs emissions in current climate change. According to the report, it is only possible to avoid warming of 1.5 °C or 2 °C if massive and immediate cuts in greenhouse gas emissions are made. This is part of climate change mitigation measures."
2,Carbon footprint,15,What are different ways of measuring carbon footprint?,"An individual's, nation's, or organization's carbon footprint can be measured by undertaking a GHG emissions assessment, a life cycle assessment, or other calculative activities denoted as carbon accounting. Once the size of a carbon footprint is known, a strategy can be devised to reduce it, for example, by technological developments, energy efficiency improvements, better process and product management, changed Green Public or Private Procurement (GPP), carbon capture, consumption strategies, carbon offsetting and others."
2,Carbon footprint,16,What is the purpose of a life cycle or supply chain carbon footprint study?,"By calculating or predicting a process’ carbon footprint high emissions areas can be identified and steps can be taken to reduce in those areas. Collecting real data from suppliers emissions, setting a strategy focused on hot-spots and incentivizing suppliers are still barriers for companies. Nevertheless, solutions exist and the focus should be on improving year-on-year."
3,Energy crisis,17,What were the  different factors that led to energy crisis 2000?,"An energy crisis or energy shortage is any significant bottleneck in the supply of energy resources to an economy. In literature, it often refers to one of the energy sources used at a certain time and place, in particular, those that supply national electricity grids or those used as fuel in industrial development and population growth have led to a surge in the global demand for energy in recent years.In the 2000s, this new demand – together with Middle East tension, the falling value of the US dollar, dwindling oil reserves, concerns over peak oil, and oil price speculation – triggered the 2000s energy crisis, which saw the price of oil reach an all-time high of $147.30 per barrel ($926/m3) in 2008."
3,Energy crisis,18,Who developed oil depletion protocol?,"Andrew McKillop has been a proponent of a contract and converge model or capping scheme, to mitigate both emissions of greenhouse gases and a peak oil crisis. The imposition of a carbon tax would have mitigating effects on an oil crisis.The Oil Depletion Protocol has been developed by Richard Heinberg to implement a powerdown during a peak oil crisis. While many sustainable development and energy policy organisations have advocated reforms to energy development from the 1970s, some cater to a specific crisis in energy supply including Energy-Quest and the International Association for Energy Economics. The Oil Depletion Analysis Centre and the Association for the Study of Peak Oil and Gas examine the timing and likely effects of peak oil."
4,Sustainable transport,19,What is sustainable transport and what components are evaluated for sustainability?,"Sustainable transport refers to ways of transportation that are sustainable in terms of their social and environmental impacts. Components for evaluating sustainability include the particular vehicles used for road, water or air transport; the source of energy; and the infrastructure used to accommodate the transport (roads, railways, airways, waterways, canals and terminals). Transport operations and logistics as well as transit-oriented development are also involved in evaluation.Transportation sustainability is largely being measured by transportation system effectiveness and efficiency as well as the environmental and climate impacts of the system.Transport systems have significant impacts on the environment, accounting for between 20% and 25% of world energy consumption and carbon dioxide emissions.The majority of the emissions, almost 97%, came from direct burning of fossil fuels.In 2019, about 95% of the fuel came from fossil sources. The main source of greenhouse gas emissions in the European Union is transportation. In 2019 it contributes to about 31% of global emissions and 24% of emissions in the EU. In addition, up to the COVID-19 pandemic, emissions have only increased in this one sector.Greenhouse gas emissions from transport are increasing at a faster rate than any other energy using sector.Road transport is also a major contributor to local air pollution and smog."
4,Sustainable transport,20,What is Greenxc and what is its mission?,"An organization called Greenxc started in 2011 created a national awareness campaign in the United States encouraging people to carpool by ride-sharing cross country stopping over at various destinations along the way and documenting their travel through video footage, posts and photography. Ride-sharing reduces individual's carbon footprint by allowing several people to use one car instead of everyone using individual cars."
4,Sustainable transport,21,What are some social equity and fairness issues that sustainable transport advocates are emphasizing?,"Whereas it started as a movement driven by environmental concerns, over these last years there has been increased emphasis on social equity and fairness issues, and in particular the need to ensure proper access and services for lower income groups and people with mobility limitations, including the fast-growing population of older citizens.Many of the people exposed to the most vehicle noise, pollution and safety risk have been those who do not own, or cannot drive cars, and those for whom the cost of car ownership causes a severe financial burden."
4,Sustainable transport,22,"What is the Samgöngugreiðslur scheme in Iceland, and what conditions must an employee meet to be eligible for it?","Several European countries are opening up financial incentives that support more sustainable modes of transport. The European Cyclists' Federation, which focuses on daily cycling for transport, has created a document containing a non-complete overview.In the UK, employers have for many years been providing employees with financial incentives. The employee leases or borrows a bike that the employer has purchased. You can also get other support. The scheme is beneficial for the employee who saves money and gets an incentive to get exercise integrated in the daily routine. The employer can expect a tax deduction, lower sick leave and less pressure on parking spaces for cars.Since 2010, there has been a scheme in Iceland (Samgöngugreiðslur) where those who do not drive a car to work, get paid a lump of money monthly. An employee must sign a statement not to use a car for work more often than one day a week, or 20% of the days for a period. Some employers pay fixed amounts based on trust. Other employers reimburse the expenses for repairs on bicycles, period-tickets for public transport and the like. Since 2013, amounts up to ISK 8000 per month have been tax-free. Most major workplaces offer this, and a significant proportion of employees use the scheme. Since 2019 half the amount is tax-free if the employee signs a contract not to use a car to work for more than 40% of the days of the contract period"
4,Sustainable transport,23,Who first attempted to evaluate the Life Cycle environmental impact of vehicles?,"The first historical attempts of evaluating the Life Cycle environmental impact of vehicle is due to Theodore Von Karman.After decades in which all the analysis has been focused on emending the Von Karman model, Dewulf and Van Langenhove have introduced a model based on the second law of thermodynamics and exergy analysis.Chester and Orwath,have developed a similar model based on the first law that accounts the necessary costs for the infrastructure."
4,Sustainable transport,24,What is the Online Electric Vehicle (OLEV) and how does it work?,"The Online Electric Vehicle (OLEV), developed by the Korea Advanced Institute of Science and Technology (KAIST), is an electric vehicle that can be charged while stationary or driving, thus removing the need to stop at a charging station. The City of Gumi in South Korea runs a 24 km roundtrip along which the bus will receive 100 kW (136 horsepower) electricity at an 85% maximum power transmission efficiency rate while maintaining a 17 cm air gap between the underbody of the vehicle and the road surface. At that power, only a few sections of the road need embedded cables.Hybrid vehicles, which use an internal combustion engine combined with an electric engine to achieve better fuel efficiency than a regular combustion engine, are already common."
4,Sustainable transport,25,"Why is investment in sustainable transport considered a ""win-win"" opportunity?","According to a series of serious reports by the Low Emission Development Strategies Global Partnership (LEDS GP), sustainable transport can help create jobs,improve commuter safety through investment in bicycle lanes, pedestrian pathways and non-pedestrian pathways,make access to employment and social opportunities more affordable and efficient. It also offers a practical opportunity to save people's time and household income as well as government budgets,making investment in sustainable transport a 'win-win' opportunity."
4,Sustainable transport,26,What is the motivation behind mobility transition?,"Mobility transition is a set of social, technological and political processes of converting traffic (including freight transport) and mobility to sustainable transport with renewable energy resources, and an integration of several different modes of private transport and local public transport. It also includes social change, a redistribution of public spaces,and different ways of financing and spending money in urban planning. The main motivation for mobility transition is the reduction of the harm and damage that traffic causes to people (mostly but not solely due to collisions) and the environment (which also often directly or indirectly affects people) in order to make (urban) society more livable, as well as solving various interconnected logistical, social, economic and energy issues and inefficiencies."
5,Biofuels,27,What is biofuel?,"Biofuel is a fuel that is produced over a short time span from biomass, rather than by the very slow natural processes involved in the formation of fossil fuels, such as oil. Biofuel can be produced from plants or from agricultural, domestic or industrial biowaste. The climate change mitigation potential of biofuel varies considerably, from emission levels comparable to fossil fuels in some scenarios to negative emissions in others. Biofuels are mostly used for transportation, but can also be used for heating and electricity. Biofuels (and bioenergy in general) are regarded as a renewable energy source."
5,Biofuels,28,What are the two most common types of biofuel?,"The two most common types of biofuel are bioethanol and biodiesel. The U.S. is the largest producer of bioethanol, while the EU is the largest producer of biodiesel. The energy content in the global production of bioethanol and biodiesel is 2.2 and 1.8 EJ per year, respectively.Demand for aviation biofuel is forecast to increase."
5,Biofuels,29,What are the advantages of using algae-based biofuels?,"Algal fuels have high yields,can be grown with minimal impact on fresh water resources,can be produced using saline water and wastewater, have a high ignition point,and are biodegradable and relatively harmless to the environment if spilled."
5,Biofuels,30,What are the disadvantages of using algae-based biofuels?,"Algae can be produced in ponds or tanks on land, and out at sea.Algal fuels have high yields,can be grown with minimal impact on fresh water resources,can be produced using saline water and wastewater, have a high ignition point,and are biodegradable and relatively harmless to the environment if spilled.Production requires large amounts of energy and fertilizer, the produced fuel degrades faster than other biofuels, and it does not flow well in cold temperatures."
5,Biofuels,31,What are the six ether additives used in transportation fuel?,"When it comes to transportation fuel there are six ether additives: dimethyl ether (DME), diethyl ether (DEE), methyl tert-butyl ether (MTBE), ethyl tert-butyl ether (ETBE), tert-amyl methyl ether (TAME), and tert-amyl ethyl ether (TAEE)."
5,Biofuels,32,How is hydrocracking used to produce green diesel?,"Green diesel is produced through hydrocracking biological oil feedstocks, such as vegetable oils and animal fats.Hydrocracking is a refinery method that uses elevated temperatures and pressure in the presence of a catalyst to break down larger molecules, such as those found in vegetable oils, into shorter hydrocarbon chains used in diesel engines.It may also be called renewable diesel, hydrotreated vegetable oil (HVO fuel) or hydrogen-derived renewable diesel.Unlike biodiesel, green diesel has exactly the same chemical properties as petroleum-based diesel.It does not require new engines, pipelines or infrastructure to distribute and use, but has not been produced at a cost that is competitive with petroleum.Gasoline versions are also being developed.Green diesel is being developed in Louisiana and Singapore by ConocoPhillips, Neste Oil, Valero, Dynamic Fuels, and Honeywell UOP as well as Preem in Gothenburg, Sweden, creating what is known as Evolution Diesel."
5,Biofuels,33,Who are some companies developing green diesel and where are they located?,"Green diesel is produced through hydrocracking biological oil feedstocks, such as vegetable oils and animal fats.Hydrocracking is a refinery method that uses elevated temperatures and pressure in the presence of a catalyst to break down larger molecules, such as those found in vegetable oils, into shorter hydrocarbon chains used in diesel engines.It may also be called renewable diesel, hydrotreated vegetable oil (HVO fuel) or hydrogen-derived renewable diesel.Unlike biodiesel, green diesel has exactly the same chemical properties as petroleum-based diesel.It does not require new engines, pipelines or infrastructure to distribute and use, but has not been produced at a cost that is competitive with petroleum.Gasoline versions are also being developed.Green diesel is being developed in Louisiana and Singapore by ConocoPhillips, Neste Oil, Valero, Dynamic Fuels, and Honeywell UOP as well as Preem in Gothenburg, Sweden, creating what is known as Evolution Diesel."
5,Biofuels,34,What are the sources that aviation biofuel can be produced from?,"Aviation biofuel can be produced from plant sources such as Jatropha, algae, tallows, waste oils, palm oil, Babassu, and Camelina (bio-SPK); from solid biomass using pyrolysis processed with a Fischer–Tropsch process (FT-SPK); with an alcohol-to-jet (ATJ) process from waste fermentation; or from synthetic biology through a solar reactor.Small piston engines can be modified to burn ethanol."
5,Biofuels,35,What products can be produced from syngas?,"Syngas can be used to produce methanol, dimethyl ether and hydrogen, or converted via the Fischer–Tropsch process to produce a diesel substitute, or a mixture of alcohols that can be blended into gasoline.Gasification normally relies on temperatures greater than 700 °C."
6,Sustainable energy,36,What are the negative impacts of burning fossil fuels and biomass?,"Fossil fuels provide 85% of the world's energy consumption, and the energy system is responsible for 76% of global greenhouse gas emissions. Around 790 million people in developing countries lack access to electricity, and 2.6 billion rely on polluting fuels such as wood or charcoal to cook. Reducing greenhouse gas emissions to levels consistent with the 2015 Paris Agreement will require a system-wide transformation of the way energy is produced, distributed, stored, and consumed. The burning of fossil fuels and biomass is a major contributor to air pollution, which causes an estimated 7 million deaths each year. Therefore, the transition to a low-carbon energy system would have strong co-benefits for human health. Pathways exist to provide universal access to electricity and clean cooking in ways that are compatible with climate goals while bringing major health and economic benefits to developing countries."
6,Sustainable energy,37,What is the goal of the 2015 Paris Agreement on climate change?,"The current energy system contributes to many environmental problems, including climate change, air pollution, biodiversity loss, the release of toxins into the environment, and water scarcity. As of 2019, 85% of the world's energy needs are met by burning fossil fuels.Energy production and consumption are responsible for 76% of annual human-caused greenhouse gas emissions as of 2018.The 2015 international Paris Agreement on climate change aims to limit global warming to well below 2 °C (3.6 °F) and preferably to 1.5 °C (2.7 °F); achieving this goal will require that emissions be reduced as soon as possible and reach net-zero by mid-century."
6,Sustainable energy,38,What is the energy intensity of the global economy ?,"The energy intensity of the global economy (the amount of energy consumed per unit of gross domestic product (GDP)) is a rough indicator of the energy efficiency of economic production.In 2010, global energy intensity was 5.6 megajoules (1.6 kWh) per US dollar of GDP.United Nations goals call for energy intensity to decrease by 2.6% each year between 2010 and 2030.In recent years this target has not been met. For instance, between 2017 and 2018, energy intensity decreased by only 1.1%. Efficiency improvements often lead to a rebound effect in which consumers use the money they save to buy more energy-intensive goods and services.For example, recent technical efficiency improvements in transport and buildings have been largely offset by trends in consumer behaviour, such as selecting larger vehicles and homes."
6,Sustainable energy,39,What are some commonly used methods for energy storage?,"Energy storage helps overcome barriers to intermittent renewable energy and is an important aspect of a sustainable energy system.The most commonly used and available storage method is pumped-storage hydroelectricity, which requires locations with large differences in height and access to water.Batteries, especially lithium-ion batteries, are also deployed widely.Batteries typically store electricity for short periods; research is ongoing into technology with sufficient capacity to last through seasons.Costs of utility-scale batteries in the US have fallen by around 70% since 2015, however the cost and low energy density of batteries makes them impractical for the very large energy storage needed to balance inter-seasonal variations in energy production.Pumped hydro storage and power-to-gas (converting electricity to gas and back) with capacity for multi-month usage has been implemented in some locations."
6,Sustainable energy,40,What is the easiest and fastest way to reduce greenhouse gas emissions in the electricity sector?,"Compared to the rest of the energy system, emissions can be reduced much faster in the electricity sector.As of 2019, 37% of global electricity is produced from low-carbon sources (renewables and nuclear energy). Fossil fuels, primarily coal, produce the rest of the electricity supply.One of the easiest and fastest ways to reduce greenhouse gas emissions is to phase out coal-fired power plants and increase renewable electricity generation."
6,Sustainable energy,41,What is district heating and how can it be made more efficient?,"A highly efficient way to heat buildings is through district heating, in which heat is generated in a centralised location and then distributed to multiple buildings through insulated pipes.Traditionally, most district heating systems have used fossil fuels, but modern and cold district heating systems are designed to use high shares of renewable energy."
7,Energy economics,42,What does energy economics mean?,"Energy economics is a broad scientific subject area which includes topics related to supply and use of energy in societies.Considering the cost of energy services and associated value gives economic meaning to the efficiency at which energy can be produced.Energy services can be defined as functions that generate and provide energy to the “desired end services or states”.The efficiency of energy services is dependent on the engineered technology used to produce and supply energy. The goal is to minimise energy input required (e.g. kWh, mJ, see Units of Energy) to produce the energy service, such as lighting (lumens), heating (temperature) and fuel (natural gas). The main sectors considered in energy economics are transportation and building, although it is relevant to a broad scale of human activities, including households and businesses at a microeconomic level and resource management and environmental impacts at a macroeconomic level."
7,Energy economics,43,What are the three main economic subjects that have contributed to the development of energy economics theory?,"Development of energy economics theory over the last two centuries can be attributed to three main economic subjects – the rebound effect, the energy efficiency gap and more recently, 'green nudges'."
7,Energy economics,44,What are the three sub-theories of the rebound effect?,"While energy efficiency is improved with new technology, expected energy savings are less-than proportional to the efficiency gains due to behavioural responses.There are three behavioural sub-theories to be considered: the direct rebound effect, which anticipates increased use of the energy service that was improved; the indirect rebound effect, which considers an increased income effect created by savings then allowing for increased energy consumption, and; the economy-wide effect, which results from an increase in energy prices due to the newly developed technology improvements."
8,Wind power,45,How can small onshore wind farms be utilized in the energy grid?,Small onshore wind farms can feed some energy into the grid or provide power to isolated off-grid locations.
8,Wind power,46,How does weather forecasting assist in wind power management?,"While the output from a single turbine can vary greatly and rapidly as local wind speeds vary, as more turbines are connected over larger and larger areas the average power output becomes less variable and more predictable.Weather forecasting permits the electric-power network to be readied for the predictable variations in production that occur."
8,Wind power,47,What is the recommended rate of expansion for wind power in order to meet the Paris Agreement goals?,"In 2021, wind supplied over 1800 TWh of electricity, which was over 6% of world electricity and about 2% of world energy.With about 100 GW added during 2021, mostly in China and the United States, global installed wind power capacity exceeded 800 GW.To help meet the Paris Agreement goals to limit climate change, analysts say it should expand much faster - by over 1% of electricity generation per year."
8,Wind power,48,How do tools like Renewables.ninja provide more detailed assessments of wind resource potential?,"Through wind resource assessment, it is possible to estimate wind power potential globally, by country or region, or for a specific site. The Global Wind Atlas provided by the Technical University of Denmark in partnership with the World Bank provides a global assessment of wind power potential.Unlike 'static' wind resource atlases which average estimates of wind speed and power density across multiple years, tools such as Renewables.ninja provide time-varying simulations of wind speed and power output from different wind turbine models at an hourly resolution.More detailed, site-specific assessments of wind resource potential can be obtained from specialist commercial providers, and many of the larger wind developers have in-house modeling capabilities."
8,Wind power,49,How do transmission losses affect power transmission for wind farms?,"Wind power resources are not always located near to high population density.As transmission lines become longer, the losses associated with power transmission increase, as modes of losses at lower lengths are exacerbated and new modes of losses are no longer negligible as the length is increased; making it harder to transport large loads over large distances."
8,Wind power,50,What happens when the transmission capacity doesn't meet the generation capacity of a wind farm?,"When the transmission capacity does not meet the generation capacity, wind farms are forced to produce below their full potential or stop running altogether, in a process known as curtailment. While this leads to potential renewable generation left untapped, it prevents possible grid overload or risk to reliable service."
8,Wind power,51,Why is developing new transmission lines a challenge for wind power grid integration in some countries?,"One of the biggest current challenges to wind power grid integration in some countries is the necessity of developing new transmission lines to carry power from wind farms, usually in remote lowly populated areas due to availability of wind, to high load locations, usually on the coasts where population density is higher.Any existing transmission lines in remote locations may not have been designed for the transport of large amounts of energy.In particular geographic regions, peak wind speeds may not coincide with peak demand for electrical power, whether offshore or onshore. A possible future option may be to interconnect widely dispersed geographic areas with an HVDC super grid."
8,Wind power,52,What factors are taken into consideration when estimating the average cost per unit of electric power for wind turbines?,"Wind power is capital intensive but has no fuel costs.The price of wind power is therefore much more stable than the volatile prices of fossil fuel sources.However, the estimated average cost per unit of electric power must incorporate the cost of construction of the turbine and transmission facilities, borrowed funds, return to investors (including the cost of risk), estimated annual production, and other components, averaged over the projected useful life of the equipment, which may be more than 20 years. Energy cost estimates are highly dependent on these assumptions so published cost figures can differ substantially."
8,Wind power,53,What is small-scale wind power?,"Small-scale wind power is the name given to wind generation systems with the capacity to produce up to 50 kW of electrical power. Isolated communities, that may otherwise rely on diesel generators, may use wind turbines as an alternative. Individuals may purchase these systems to reduce or eliminate their dependence on grid electric power for economic reasons, or to reduce their carbon footprint. Wind turbines have been used for household electric power generation in conjunction with battery storage over many decades in remote areas."
8,Wind power,54,Where can airborne wind turbines be used and why?,"Airborne wind turbines, such as kites, can be used in places at risk of hurricanes, as they can be taken down in advance."
9,Green building,55,What is green building and what does it encompass?,"Green building (also known as green construction or sustainable building) refers to both a structure and the application of processes that are environmentally responsible and resource-efficient throughout a building's life-cycle: from planning to design, construction, operation, maintenance, renovation, and demolition.This requires close cooperation of the contractor, the architects, the engineers, and the client at all project stages.The Green Building practice expands and complements the classical building design concerns of economy, utility, durability, and comfort.Green building also refers to saving resources to the maximum extent, including energy saving, land saving, water saving, material saving, etc., during the whole life cycle of the building, protecting the environment and reducing pollution, providing people with healthy, comfortable and efficient use of space, and being in harmony with nature Buildings that live in harmony. Green building technology focuses on low consumption, high efficiency, economy, environmental protection, integration and optimization."
9,Green building,56,What is Leadership in Energy and Environmental Design (LEED)?,"Leadership in Energy and Environmental Design (LEED) is a set of rating systems for the design, construction, operation, and maintenance of green buildings which was developed by the U.S. Green Building Council.Other certificate systems that confirm the sustainability of buildings are the British BREEAM (Building Research Establishment Environmental Assessment Method) for buildings and large-scale developments or the DGNB System (Deutsche Gesellschaft für Nachhaltiges Bauen e.V.) which benchmarks the sustainability performance of buildings, indoor environments and districts. Currently, the World Green Building Council is conducting research on the effects of green buildings on the health and productivity of their users and is working with the World Bank to promote Green Buildings in Emerging Markets through EDGE (Excellence in Design for Greater Efficiencies) Market Transformation Program and certification.There are also other tools such as Green Star in Australia, Global Sustainability Assessment System (GSAS) used in the Middle East and the Green Building Index (GBI) predominantly used in Malaysia."
9,Green building,57,What is the origin of sustainable development ?,"The concept of sustainable development can be traced to the energy (especially fossil oil) crisis and environmental pollution concerns of the 1960s and 1970s.The Rachel Carson book, ""Silent Spring"",published in 1962, is considered to be one of the first initial efforts to describe sustainable development as related to green building.The green building movement in the U.S. originated from the need and desire for more energy efficient and environmentally friendly construction practices. There are a number of motives for building green, including environmental, economic, and social benefits.However, modern sustainability initiatives call for an integrated and synergistic design to both new construction and in the retrofitting of existing structures. Also known as sustainable design, this approach integrates the building life-cycle with each green practice employed with a design-purpose to create a synergy among the practices used."
9,Green building,58,How does green building take advantage of renewable resources?,"Green building brings together a vast array of practices, techniques, and skills to reduce and ultimately eliminate the impacts of buildings on the environment and human health. It often emphasizes taking advantage of renewable resources, e.g., using sunlight through passive solar, active solar, and photovoltaic equipment, and using plants and trees through green roofs, rain gardens, and reduction of rainwater run-off. Many other techniques are used, such as using low-impact building materials or using packed gravel or permeable concrete instead of conventional concrete or asphalt to enhance replenishment of groundwater."
9,Green building,59,What are some other techniques used in green building besides using renewable resources?,"Green building brings together a vast array of practices, techniques, and skills to reduce and ultimately eliminate the impacts of buildings on the environment and human health. It often emphasizes taking advantage of renewable resources, e.g., using sunlight through passive solar, active solar, and photovoltaic equipment, and using plants and trees through green roofs, rain gardens, and reduction of rainwater run-off. Many other techniques are used, such as using low-impact building materials or using packed gravel or permeable concrete instead of conventional concrete or asphalt to enhance replenishment of groundwater."
9,Green building,60,What is deconstruction and how can it be used to reduce waste in building materials?," Deconstruction is a method of harvesting what is commonly considered ""waste"" and reclaiming it into useful building material. Extending the useful life of a structure also reduces waste – building materials such as wood that are light and easy to work with make renovations easier."
9,Green building,61,What are some options for reducing the impact on wells or water treatment plants in terms of wastewater?,"To reduce the impact on wells or water treatment plants, several options exist. ""Greywater"", wastewater from sources such as dishwashing or washing machines, can be used for subsurface irrigation, or if treated, for non-potable purposes, e.g., to flush toilets and wash cars. Rainwater collectors are used for similar purposes."
9,Green building,62,"What are some examples of building materials considered ""green""?","Building materials typically considered 'green' include lumber( that has been certified to a third-party standard), rapidly renewable plant materials (like bamboo and straw), dimension stone, recycled stone, hempcrete, recycled metal (see: copper sustainability and recyclability), and other non-toxic, reusable, renewable, and/or recyclable products. Materials with lower embodied energy can be used in substitution to common building materials with high degrees of energy consumption and carbon/harmful emissions. For concrete a high performance self-healing version is available,however options with lower yields of pollutive waste entertain ideas of upcycling and congregate supplementing; replacing traditional concrete mixes with slag, production waste, and aggregates.Insulation also sees multiple angles for substitution. Commonly used fiberglass has competition from other eco-friendly, low energy embodying insulators with similar or higher R-values (per inch of thickness) at a competitive price. Sheep wool, cellulose, and ThermaCork perform more efficiently, however, use may be limited by transportation or installation costs."
9,Green building,63,"Who established the IPCC, and what does it aim to do?","Climate Change 2007, the Fourth Assessment Report (AR4) of the United Nations Intergovernmental Panel on Climate Change (IPCC), is the fourth in a series of such reports.The IPCC was established by the World Meteorological Organization (WMO) and the United Nations Environment Programme (UNEP) to assess scientific, technical and socio-economic information concerning climate change, its potential effects and options for adaptation and mitigation."
